DATE,Accommodation,Accommodation and Food Services,Activities Related to Real Esta,Administrative and Support and Waste Management and Remediation Services,Administrative and Support Services ,Air Transportation ,"Architectural, Engineering, and Related Services",Automotive Equipment Rental and Leasing,Automotive Repair and Maintenance,Average Hourly Earnings of All Employees Construction,Average Hourly Earnings of All Employees Education and Health Services,Average Hourly Earnings of All Employees Financial Activities ,Average Hourly Earnings of All Employees Goods Producing ,Average Hourly Earnings of All Employees Information ,Average Hourly Earnings of All Employees Leisure and Hospitality ,Average Hourly Earnings of All Employees Other Services ,Average Hourly Earnings of All Employees Private Service Providing ,Average Hourly Earnings of All Employees Professional and Business Services ,Average Hourly Earnings of All Employees Total Private ,"Average Hourly Earnings of All Employees Trade, Transportation, and Utilities ",Average Hourly Earnings of Production Employees Manufacturing ,Average Weekly Earnings of All Employees Construction ,Average Weekly Earnings of All Employees Information ,Average Weekly Earnings of All Employees Manufacturing ,Average Weekly Earnings of All Employees Other Services ,Average Weekly Earnings of All Employees Total Private ,Average Weekly Earnings of Production Employees Manufacturing ,Average Weekly Hours of All Employees Goods Producing ,Average Weekly Hours of All Employees Other Services ,Average Weekly Hours of All Employees Private Service Providing ,Average Weekly Hours of All Employees Total Private ,Business Support Services ,Civic and Social Organizations ,Computer Systems Design and Related Services ,Consumer Goods Rental ,Couriers and Messengers ,Drinking Places ,Drycleaning and Laundry Services ,Educational Services ,Employment Services ,Facilities Support Services ,Federal Government ,Financial Activities ,Freight Transportation Arrangement ,General Rental Centers ,Goods Producing ,Government ,Grant making anf Giving Services ,Health Care and Social Assistance ,Information ,Investigation and Security Services ,Legal Sevices ,Leisure and Hospitality ,Lessors of Real Estate ,Local Government ,Local Government Educational Services ,Logging ,Management of Companies and Enterprises ,"Management, Scientific, and Technical Consulting Services ",Mining ,Mining and Logging ,"Mining, Logging, and Construction ",Office Administrative Services ,Other Personal Services ,"Other Professional, Scientific, and Technical Services ",Other Services ,Other Support Services ,Personal and Laundry Services,Personal Care Services,Professional and Business Services,Real Estate,Real Estate and Rental and Leasing,Religious Organisations,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Rental and Leasing Services,Repair and Maintenance,School and Employee Bus Transportation,Scientific Research and Development Services,Services to Buildings and Dwellings,Social Advocacy Organizations,Social Assistance,Special Food Services,Specialized Design Services,State Government Educational Services,Support Activities for Road Transportation,Support Activities for Transportation,Support Activities for Water Transportation,Transit and Ground Passenger Transportation,Transportation and Warehousing,Travel Arrangement and Reservation Services,Truck Transportation,Utilities,Warehousing and Storage,Waste Management and Remediation Services,Wholesale Trade
01-02-2001,197.3,1124.7,70.2,963.7,928.5,70.1,154.4,24.3,118.3,,,,,,,,,,,,19.92,,,40.8,,,812.74,,,,,57.5,33.7,220.6,33.4,78.2,25.9,41,234.2,457.6,7.9,252.4,820,27.3,9.2,2613,2366.5,24.9,1312.5,588.8,105.4,130,1333.9,66.8,1659.1,958.8,1.6,290.9,98.9,22.5,24.1,767,35.7,35.1,55.2,491.8,31.8,132.1,45.4,2216.3,177.5,262.9,87.9,202.5,81.3,157.2,8.9,99.1,191.7,17.9,296.5,35.3,24.5,200.5,12.8,75.3,16.3,35.7,458.8,40.9,114.6,54.9,61.6,35.2,661
01-03-2001,199.6,1138.6,71,972.8,937.6,70,155.4,24.5,121,,,,,,,,,,,,19.88,,,40.9,,,813.09,,,,,57.7,33.9,219.2,33.7,79.2,26.2,41.5,238.2,461.2,7.8,252.9,827.6,27.2,9.2,2633.6,2383.8,25.3,1325.5,590.2,107.9,130.9,1352.8,67.1,1667.5,963.1,1.6,292.8,99.6,22.6,24.2,784.3,35.9,35.4,55.6,498.7,31.3,133.5,45.9,2233.9,178.8,264.9,88.6,204.9,81.9,160.3,8.8,100.2,194.6,18.2,302.1,36.1,24.6,207.1,13,76.9,17.7,35.9,462.5,41,115.5,54.9,61.8,35.2,664.1
01-04-2001,199.2,1140.9,71.7,957.9,923.1,70.7,155.4,24.3,122,,,,,,,,,,,,20.33,,,40.7,,,827.43,,,,,57.7,33.3,215.5,34.5,79.7,26.4,41.1,236.1,446.1,7.7,253.2,825.2,26.6,8.9,2610,2407.7,25,1327.1,571.4,106.9,131,1360.7,66.9,1691.1,980.2,2.2,284.6,98.4,22.9,25.1,791.8,36.4,35.5,56.3,498,29.5,133.5,46.5,2202.9,179.5,266,87.9,203,82.2,161.5,9,99,197.8,18.3,306.1,39,24.1,206.7,13.2,76.2,17.4,36.4,462.6,41.2,113.7,54.8,62.4,34.8,660.5
01-05-2001,200.8,1153.1,72.2,969.2,933.4,70.9,155.9,24.4,123.1,,,,,,,,,,,,20.18,,,40.7,,,821.33,,,,,58.1,33.8,211.9,34.2,79,26.4,41,237.1,449.6,8,253.6,828.3,26.5,9.3,2617.6,2418.1,25.3,1337,557.8,108.3,131.5,1378,67.1,1699.3,985.8,3.3,287.2,98.9,23.1,26.4,809.4,37,36.1,56.7,502.2,30.4,134.5,46.9,2206.3,180.5,267.4,88.2,205.1,82.5,162.6,9.1,99.2,200.5,18.6,309.9,42.1,23.9,206.4,13.2,75.4,16.6,36.4,462.7,41.7,115.5,55,62.1,35.8,660.1
01-06-2001,201.5,1162.2,73.5,976,939.9,71.1,158,24.8,124.7,,,,,,,,,,,,20.13,,,41.2,,,829.36,,,,,58.9,34.8,210,35.2,78.5,26.6,41.4,221.3,452,8.4,255.6,834.6,26.4,9.3,2630.4,2419.4,25,1344.7,554.8,108,134.5,1394.5,67.6,1696.9,970.2,3.7,286,99.9,23.1,26.8,824.9,37.6,36.5,57.3,507.4,31,135.9,47.4,2212.4,182.5,270.9,87.6,207.1,84,164.4,9,99.8,202.7,18.8,311.5,45.7,24.1,205,13.5,75.4,16.4,36.3,463.7,41.8,116.8,55.1,61.9,36.1,664.5
01-07-2001,201.8,1158.4,73.4,956.5,920.8,70.9,159.3,24.5,123.7,,,,,,,,,,,,20.11,,,41.2,,,828.53,,,,,58.7,36,199.4,34.9,78.7,26.6,40.7,192.8,437.4,8.4,257,828.2,25.9,9.2,2606.7,2293.4,24.4,1347.1,537.6,104.9,134.5,1396.9,67,1587.7,853.4,3.9,283.8,99,22.5,26.4,826.6,37.4,36.3,56.7,501.1,30.7,134,46.6,2178,182.1,269.6,83.9,203.9,83.2,163.2,8.1,100.3,201.2,18.8,309.9,41.9,24.1,184.8,13.4,75.7,17.2,35,461.5,42,116.1,54.6,61.3,35.7,658.2
01-08-2001,202.9,1162,74,962.9,927.1,70.9,159.4,24.4,124.2,,,,,,,,,,,,20.01,,,41.4,,,828.41,,,,,58.8,35.7,196.8,35.1,77.6,26.6,40.7,204.4,441.2,8.9,256.4,831.9,25.9,9,2619.8,2285,25,1357.3,534.7,106.3,134.4,1401.4,67.1,1579.9,845.8,4.1,283.1,99.8,22.6,26.7,841.4,37.7,36.4,57.8,502.2,30.2,134.7,47.1,2183.7,183.2,270.8,84.1,204.2,83.2,163.3,7.6,100.1,202.5,18.4,311.9,43.1,24.2,184.5,13.6,77.3,18.2,34.5,461.5,41.8,116.7,54.6,60.7,35.8,657.5
01-09-2001,197.5,1149.9,74.1,961,925.7,70.7,157.9,24.2,123.7,,,,,,,,,,,,20.28,,,41.6,,,843.65,,,,,58.5,34,192.6,34.7,76.8,26.3,40.7,220.8,444.5,8.9,256.2,830.5,25.4,8.9,2589.9,2359.1,24.5,1361.8,529.4,105.5,132.4,1377.3,66.8,1646.3,922.2,4,281.6,98.4,22.6,26.6,831.3,37.8,36.6,57.1,502.2,29.5,134.8,47.2,2167.6,182.5,269.4,87.3,205,82.5,162.4,9.2,98.7,200.2,18.4,315.5,44.3,23.9,192.3,13.7,77.3,18.5,35.6,460.6,40.8,116,54.7,60.4,35.3,655.6
01-10-2001,191.5,1137.6,73.8,945,909.6,68.3,156.4,24,122.3,,,,,,,,,,,,20.34,,,41.3,,,840.04,,,,,58.4,33.8,191.3,33.2,80.4,26.3,39.8,238.7,427.5,9.1,254.3,834.4,25.4,8.8,2546.3,2420.8,25.6,1365.6,524.2,108.6,134.4,1361.3,66.7,1696,968.7,3.9,277.3,99.5,22.3,26.2,823.3,38.2,36,57.6,501.3,30.3,133.1,47,2149.4,182.3,267.4,89.2,207.4,80.7,160.8,9.2,98.4,199.6,18.7,317,42.9,24.1,208,14.1,77.3,18.9,34.7,459,38.4,114.3,54.5,60.3,35.4,654.4
01-11-2001,188.5,1134.4,74.1,936.6,901.7,63.1,155.6,23.3,121.4,,,,,,,,,,,,20.49,,,41.3,,,846.24,,,,,58.7,34,188.2,33.5,79.9,26.5,39.7,242.7,421,9,253.6,837.3,25.2,8.7,2507.2,2447.1,25.7,1376.4,523.7,109.5,135.3,1352.7,66.7,1719.6,991,3.5,278,99.3,22.1,25.6,810.6,38.2,36,57.9,500.5,29.9,133,47,2138.5,182.8,267.4,89.7,207.8,80.2,159.7,9.3,98.1,198.7,18.7,320.8,42.3,24.1,211.7,14,76.2,17.8,34.8,449.4,37.1,112.5,54.6,59.4,34.9,651.2
01-12-2001,189.5,1137.5,74.9,933,898,60.9,156.2,23,120.5,,,,,,,,,,,,20.66,,,41.5,,,857.39,,,,,58.9,33.6,186.9,33.2,79.6,26.6,39.7,239.2,417.4,8.7,253.2,844,25.2,8.5,2483.8,2440.9,25.6,1387.6,522.8,112.5,136.7,1358.1,67.6,1715.8,985.9,2.4,280.1,99.6,21.8,24.2,797.6,38.6,36.6,58.2,500.6,29,133.8,47.1,2144.5,184.9,268.5,89.9,207.7,79.3,159.1,9.4,98.1,196.4,19,323.6,44.1,24,210.1,14.3,76.4,17.3,35,446.5,36.6,111.5,54.7,59.1,35,651.4
01-01-2002,182,1103.3,73.7,908.7,874.4,59.5,151.9,23.9,119.6,,,,,,,,,,,,20.94,,,40.5,,,848.07,,,,,57.8,32.5,181.6,32.4,73.9,25.9,39.5,223.2,404.1,8.5,251.7,828.5,24.4,8.3,2404.1,2422.6,24.9,1379.9,510.2,109.1,132.6,1318.3,65.8,1705.5,974.2,1.5,275.3,99,21,22.5,758.6,39.1,35.3,55.4,492.5,30.8,131.3,46.1,2095.2,181.3,263.9,89.1,204.1,79,157.1,9.4,97.4,188.2,18.6,324.1,39,22.9,204.3,14,73.9,16.8,35.8,430.8,36.7,106.2,55,58.6,34.3,643
01-02-2002,184.4,1116.2,74.1,914.3,879.6,59.7,152.4,23.9,121.5,,,,,,,,,,,,20.92,,,40.9,,,855.63,,,,,58.1,34.1,179.8,32.3,73.4,26.1,39.5,239.2,407.7,8.7,250.9,834.1,24.2,8.2,2413.9,2449.8,26,1393.1,511.4,109.1,133.6,1335.5,66,1728.7,992.6,1.5,275,99.9,20.9,22.4,764.9,39.5,35.3,55.9,500,30,132.2,46.8,2108.4,182.4,264.9,90,208.8,78.8,159,9.5,98.2,189.3,18.8,330,40.3,22.9,208.9,14,74.8,17.8,36.4,432,37.1,106.1,55.5,58.5,34.7,646.4
01-03-2002,186.9,1130.1,74.2,930.2,895.5,58.9,153.2,24.1,123.6,,,,,,,,,,,,20.88,,,41.2,,,860.26,,,,,58.3,34,179.5,32.5,72.8,26.2,39.9,241.3,417.5,8.6,252.5,837.4,24.1,8,2431.3,2479.2,26.1,1405.6,519.9,112.1,134.2,1355.6,66.4,1747.2,1009.1,1.4,275.6,100.3,20.7,22.1,775.1,40.3,35.4,57.8,503.8,29.8,133.5,47.6,2131.3,183.6,266.4,90.3,209.5,79.1,160.8,9.5,98.3,191.2,19.1,334.8,41,23,215.9,14.1,73.1,15.8,36.8,429.6,37.5,106.5,55.8,58.7,34.7,650.5
01-04-2002,189.1,1152.2,74.8,924,889.3,58.5,152.6,23.2,124.7,,,,,,,,,,,,20.99,,,40.8,,,856.39,,,,,59.7,34.6,178.9,32.7,73.5,26.5,40.1,239.8,408.9,8.5,253.1,838.4,24.2,8.3,2424.7,2490.5,25.7,1403.2,502.6,112.1,134.8,1382.3,66.3,1759.6,1025.7,2,269.2,100.7,20.1,22.1,778.7,40.5,35.7,56.3,505.9,29.2,134.5,48.1,2114,184.3,266.7,89.9,209.2,78.7,162.2,9.4,99.3,193.2,19.2,340.2,40.8,23.3,214.8,14.3,74.6,17.6,36.2,432.3,36.9,108.1,55.9,58.5,34.7,650.4
01-05-2002,191.3,1170.1,75.5,938.6,903.8,59.3,153.1,23.3,126,,,,,,,,,,,,20.87,,,41.1,,,857.76,,,,,59.4,35.3,178.9,32.9,73.1,26.8,40.9,242.6,418.9,9,253.1,842.1,24.1,8.7,2443.2,2497,25.9,1411.2,502.3,113.2,135,1403.3,66.6,1764.3,1026.8,2.9,268.4,101.2,20.1,23,793.8,40.7,36,55.7,512.1,29.2,136.4,48.9,2116.8,185.5,268.4,90.6,212,79.3,163.7,9.5,100,196.3,19.5,344.5,44.5,23.6,215.1,14.3,75.6,18.3,36.5,436.1,37.1,109.7,55.6,58.6,34.8,652.8
01-06-2002,195.6,1180.4,76.1,946,910.5,60,153.7,23.5,126.6,,,,,,,,,,,,20.89,,,41.5,,,866.94,,,,,59.9,37.2,178.1,33.1,72.6,26.8,41.3,227.4,425.7,9.2,255.7,847.1,24.2,8.8,2461.3,2492.1,25.2,1415.3,501.6,112.2,136.6,1419.2,67,1757.7,1010,3.3,266.9,101.8,20.3,23.6,806.9,40.5,36.4,55.3,515.2,28.9,137.6,49.2,2124.6,186.9,270.3,89.5,213.1,79.7,164.5,9.5,101.1,197.4,19.9,344.8,46.5,23.8,212.5,14.3,75.9,18.1,36.8,439,37.1,111.6,55.6,58.5,35.5,655.5
01-07-2002,196.9,1165.2,76.9,940.3,905,59.5,153.5,23.6,124.1,,,,,,,,,,,,20.89,,,40.7,,,850.22,,,,,59.9,37.8,176,32.9,73.8,26.2,40.6,214.2,422.7,9.3,255,845.9,23.9,8.6,2445.3,2359,25.4,1412.9,484.6,112.2,136.3,1410,66.5,1646.2,886.2,3.6,264.3,101.6,20,23.6,807,39.3,35.9,54.3,507.4,28.8,135.6,48.5,2111.2,187,269.7,85.7,210.7,79.1,161.1,8.2,102.7,197.1,19.6,341.2,43.1,23.6,191.5,14.4,76.4,18.6,35.2,438.4,36.3,111.8,54.4,58,35.3,651.8
01-08-2002,198.7,1173.3,77.4,954,918.4,59.6,153.4,23.7,124.3,,,,,,,,,,,,20.93,,,41.1,,,860.22,,,,,60.2,37.6,175.8,33.1,73.3,26.3,40.5,211.5,433.3,9.5,253.8,851.2,23.7,8.6,2471.2,2342.1,24.5,1419.4,490.5,113.4,136.4,1417.2,66.5,1630.6,872.8,3.7,263.6,102.4,20.2,23.9,825.7,39.5,36,54.8,506.2,28.1,136.1,49,2126.4,187.8,270.9,85.3,208.8,79.4,161.3,7.6,102.6,199,19.2,341.6,45.7,23.6,191.8,14.6,77.5,19.2,34.6,440.2,36.2,113.5,54.2,58,35.6,653.9
01-09-2002,194.9,1167.9,77.6,956.9,921,59.2,152.5,23.6,124.3,,,,,,,,,,,,20.92,,,41.4,,,866.09,,,,,60.2,35.4,174.1,32.5,72.9,26.2,40.6,230,439,9.6,253.4,851.5,23.7,8.7,2461.7,2408,23.9,1425.2,481.4,113,134.9,1402.9,66.4,1691.6,943.7,3.7,262.4,103,20.2,23.9,822,39.2,36.3,54.2,506.8,27.5,137.2,49.7,2122.6,187.8,270.1,88.1,208.3,78.7,161.3,9.3,101,198.1,19.1,344.9,48,23.4,197.6,14.6,77.4,18.9,36.1,439.6,35.3,113.2,54.2,57.1,35.9,654.1
01-10-2002,192.3,1155.9,77.6,957.6,922.1,59.2,151.8,23.4,122.2,,,,,,,,,,,,20.82,,,41.3,,,859.87,,,,,60.4,36.1,173.6,31.1,77.3,25.8,40.4,245.6,439.7,9.8,254,853.6,23.7,8.8,2434.8,2466.9,24.9,1429.4,487.8,112.6,136,1384.1,65.4,1735.5,988.2,3.8,260.1,104.3,20,23.8,819.7,40.8,36.2,53.6,506.5,29,135.5,48.4,2119.6,187.2,267.6,89.7,211.7,77.1,159.3,9.3,101.6,196.1,19.5,348.4,48.5,23.2,213,14.7,77.2,19.2,35.6,439.7,34.8,110.6,53.5,56.6,35.5,651
01-11-2002,191.4,1154.5,78.2,959.5,923.5,58.9,151.9,23,121.2,,,,,,,,,,,,20.9,,,41.1,,,858.99,,,,,61.2,35.9,173.7,31.7,76.8,25.9,40.9,251.2,441.6,9.9,254.1,859.9,23.8,8.5,2412.9,2483.2,25,1437.8,495.8,112,136.9,1375,65.6,1747.9,1003.1,3.4,260.8,104.7,20.2,23.6,813.9,42.5,36.2,53.4,505.7,28.1,136.1,48.5,2126.6,188.4,268.7,90,211.4,77.1,158.2,9.4,101.7,194.9,19.7,351.3,47.5,23.4,217.7,14.6,77.2,19.4,35.5,438.2,34.5,109.9,53.8,56.9,36,651.5
01-12-2002,192.4,1162.1,78.9,953.1,917.1,58.6,151.9,23.2,120.4,,,,,,,,,,,,21.03,,,42,,,883.26,,,,,61.4,35.5,175.4,31.6,76.8,25.8,41,246.8,437.6,9.7,257.7,867.3,23.9,8.2,2395.5,2474.7,25.4,1446.6,479.4,112,138.4,1385.6,66.3,1739.6,995.9,2.7,259.9,106.2,20,22.7,803.6,43.4,36.5,52.9,505.7,27.3,136.6,48.6,2129.9,190.4,270.5,89.9,211.5,76.9,157.6,9.5,102.5,192.6,19.6,354.5,50.2,23.3,214.8,14.7,78.5,19.4,35.6,438.4,34,108.9,54,56.6,36,653
01-01-2003,189.1,1127.9,78.4,908.1,872.2,58.4,146.7,22.9,118.9,,,,,,,,,,,,20.89,,,40.3,,,841.87,,,,,60.1,34.6,169.9,30.7,73.1,25,40.1,235.1,404.6,9.3,256.7,858.8,23.5,8,2336.4,2450.9,23.7,1432.5,480.3,110.3,135.9,1345.9,66.4,1723.1,979.4,1.5,253.6,106.7,19.3,20.8,775.8,42.9,35.1,50,497.6,28.9,133.1,47.6,2064.4,189.3,267.1,90.8,209.2,74.9,155.3,9.1,102.4,185.1,20.6,356.5,43.3,22.7,209.7,14.3,76.5,18.9,34.8,424.3,31.3,104,54.4,55.1,35.9,643.7
01-02-2003,191,1140.1,78.8,913.9,878,57.9,147,22.9,119.9,,,,,,,,,,,,20.89,,,41.2,,,860.67,,,,,60.7,35.8,169.8,30.4,72.3,25.2,39.9,249.3,408.6,9.8,255.2,864,23.6,8,2333.8,2462.9,24.6,1445.2,487.1,109.2,136.7,1362.7,66.2,1732.9,988.5,1.5,253.8,107.7,19.5,21,773.3,43.4,35,50.4,503.2,28.9,133.6,48.3,2077.9,190.4,268.1,91.9,213.1,74.6,156.5,9.1,102.1,186.5,21,362.8,44.2,22.7,213.5,14.4,76.7,19,34.7,423.6,31.8,104,54.5,55.4,35.9,645.8
01-03-2003,191.4,1150.4,79.5,924.7,888.7,57.5,147.6,23,120.9,,,,,,,,,,,,20.95,,,41.4,,,867.33,,,,,61.5,35.5,170,30.7,71.7,25.3,40.1,252.8,416.6,9.7,256.2,869,23.5,8.1,2347,2480.1,24.7,1458.2,481.7,109.2,137.6,1376.5,66.6,1742.9,996.2,1.5,254.5,108.7,19.5,21,785.9,43.6,35.4,50.5,505.5,28,134.6,48.7,2095.7,192,270.3,91.8,213.3,75.2,157.6,9.2,101.9,188.7,21.2,369.9,44.9,22.7,218.9,14.3,76.5,18.6,35,424,32.3,105.1,54.5,55.6,36,649
01-04-2003,190.6,1156.1,80.3,925.9,890.3,54.2,147.4,22.7,120.6,,,,,,,,,,,,20.86,,,41.1,,,857.35,,,,,61.2,35.9,168.5,30.9,71.4,25.3,39.8,258.7,413.5,9.9,255.9,874.3,23.6,8,2341.9,2474.7,24.4,1471.7,470.7,110.5,137.9,1388.7,66.2,1739.4,994.8,1.7,252.1,108.8,19.3,21,791.1,44.6,34.9,51.3,506.5,28.4,134.1,48.9,2090.5,193.2,271.2,94.1,214.8,75,157.6,9.1,101.4,191.6,19.8,376.4,46.8,23,217.6,14.3,76.7,18.6,34.8,422.4,31.5,106.2,54.6,56.8,35.6,650
01-05-2003,191.2,1167.8,81.1,935.9,899.7,53.7,147.7,22.7,121.9,,,,,,,,,,,,20.81,,,41.6,,,865.7,,,,,61.8,36,168.3,31.4,71.1,25.7,39.8,256,418.4,10.2,256.8,880.2,23.5,8.1,2359.5,2473.7,24.6,1483.3,475.2,110.5,138.7,1404.4,66.4,1737.8,990.1,2.3,251.1,110,19.5,21.8,810.4,45,35.2,51.9,509.2,28.3,135.1,49.6,2088.7,194.7,273.8,93.6,215,75.9,159.1,9.1,101,195,20,382.8,48.5,23,217.9,14.3,77,18.8,34.9,424.8,31.4,107.8,55,57.8,36.2,651.9
01-06-2003,196.9,1183.6,81.6,943.2,906.5,53.3,148.2,22.8,123.7,,,,,,,,,,,,20.83,,,41.6,,,866.53,,,,,61.6,37.2,168.1,31.7,71.7,25.7,40.1,241.8,423.2,10.3,257.4,884.6,23.5,8.1,2381.6,2470.3,24,1492,467.9,110.2,141.2,1425.8,66.7,1733.3,975.2,3.2,249.3,110.3,19.5,22.7,828.6,45.5,35.7,52.2,513.5,28,136.2,49.9,2096,196.1,275.5,92.5,216.1,76.3,161.2,8.9,101.2,197.7,20.2,386.6,49.1,23.2,215.7,14.1,76.7,18,34.7,427.3,31.1,110.3,55.7,58,36.7,654.4
01-07-2003,197.6,1177.7,81,931.2,894.9,52.1,147.1,22.8,121.2,,,,,,,,,,,,21.05,,,40.9,,,860.95,,,,,60.9,37.1,167.5,31.6,70.8,25,39.1,225.6,416.6,10.1,257.7,883,23.4,8.2,2372.7,2345.5,23,1484.7,467.1,109.4,140.4,1425.3,65.7,1629,867,3.5,246.2,110.1,19.7,23.2,834.1,45.3,35.7,51.9,502,27.5,134.7,49.5,2074.5,194.4,273.6,87,209.4,76.1,157.9,7.9,101.7,195.4,20.2,384.5,47.8,22.9,195.6,13.7,76.4,18.5,33.4,423.8,30.4,110.5,55.8,57.9,36.3,648.4
01-08-2003,200.4,1186.9,81.7,943.7,907.3,51.6,147.5,22.9,121.7,,,,,,,,,,,,20.95,,,41.5,,,869.43,,,,,60.7,37,168,31.5,70.9,25,39.3,221.5,424.5,10.2,255.2,887.2,23.3,8,2402.7,2316.1,22.7,1489.7,478.4,110.6,140.4,1432.5,65.4,1604.8,846.9,3.5,244.8,110.9,19.7,23.2,850.2,45.9,36.2,53.1,502.5,27.4,135.6,49.6,2089,195.3,274.4,87,208.3,76.1,158.6,6.7,101.7,197.9,19.6,386,49.2,22.8,193.3,13.7,76.3,18.2,32.6,423.6,30.7,111.8,55.9,57.7,36.4,650.2
01-09-2003,195.9,1183.1,81.6,945.7,909.3,51.3,146.9,22.7,121.4,,,,,,,,,,,,20.87,,,41.8,,,872.37,,,,,60.9,34.7,167.6,30.9,71.5,25,39.4,240.1,427.1,10.3,253.9,885.7,23.3,8.2,2401.7,2370.9,22.8,1496.7,466.3,109.5,138.8,1418.7,65.4,1656.3,905.1,3.4,243.1,110.2,19.5,22.9,849.5,46.1,36.6,53.4,504.4,27.1,136.4,49.9,2084.9,195.2,273.6,90.7,209.6,75.5,158.4,8.7,100.5,198.9,19.6,391.4,50.3,22.9,198.7,13.6,76.6,18.3,34.4,427.7,30.4,112.3,55.9,59.3,36.4,650
01-10-2003,195,1176.1,81.9,939.8,903.1,51,147.3,22.4,120.6,,,,,,,,,,,,20.8,,,41.7,,,867.36,,,,,60.4,34.4,168.4,30.9,74.4,24.8,39.1,255.7,423.5,10.2,254.2,883.5,23.4,8.3,2380.1,2418.9,23.4,1497.5,476.9,110.1,139.6,1406.9,64.3,1691.1,943.5,3.3,241.9,110.1,20.2,23.5,848.9,47.3,36.2,54,504.1,27.1,135.3,49.7,2079.5,194.3,272.7,92.2,210.9,75.2,157.9,8.8,100,196.2,19.8,393.3,49.3,22.7,213.5,13.7,76.5,18.7,34.9,429.1,29.2,111.3,55.9,58.9,36.7,647.1
01-11-2003,194.9,1177.2,81.8,937.6,900.8,51,147.6,22.3,119,,,,,,,,,,,,21.08,,,42,,,885.36,,,,,60,34.2,169,30.9,73.6,24.7,39.1,259.6,422.6,10.6,252.6,883.6,23.5,8.1,2364,2433,23.1,1504,483.8,110.3,139.9,1401.7,64.3,1704.8,959.7,3,241.5,110.5,20,23,842.3,47.5,36.1,54.2,501.8,26.2,135.3,49.7,2081.3,194.1,272.1,92.1,210.3,74.9,156.2,8.9,100.2,195.3,19.9,397.5,48,22.8,214.8,13.6,76.6,18.6,35.2,426.8,29.4,109.6,56.1,58.9,36.8,645.7
01-12-2003,197.7,1185.6,82.4,933.6,896.7,51,148.9,22.3,117.4,,,,,,,,,,,,21.06,,,41.6,,,876.1,,,,,60.4,34.2,170.8,31.3,73.8,24.8,39.4,257.8,417.2,10.3,252.7,888,23.8,8.1,2363.2,2415.8,22.4,1516.1,477.9,111,141.8,1411.6,65.1,1693.1,950.7,2.4,240.7,112.2,20.3,22.7,838.4,48.1,36.6,54.8,501.8,26,136.3,49.9,2089.8,196.1,274.3,92.5,210.4,75.1,155.1,8.8,100.5,195.2,20,402.2,49.5,23.1,213.2,13.5,76,17.8,35.1,424.9,29,108.6,56.3,58.7,36.9,648.3
01-01-2004,192.2,1160.1,81.3,905.6,868.9,51,146.9,21.9,117,,,,,,,,,,,,21.11,,,40.9,,,863.4,,,,,60.8,33.5,166.7,29.8,69.3,24.2,39,241.3,397.2,9.9,249.6,879.6,23.5,7.7,2320.4,2397.3,22.5,1507.2,485.7,108,137.2,1380.8,62.9,1680.1,940.5,1.5,230.5,111,20,21.5,814.3,47.8,34.2,52,494.4,27.2,132.5,49.2,2032.8,193.3,269.1,92.2,208.1,72.6,153.8,8.9,98.4,189.8,19.8,403,43.8,22.4,211.6,13.4,76.2,18.4,34.5,415.6,28.3,105.2,55.9,58.7,36.7,640.9
01-02-2004,194.8,1174.4,81.9,918.8,882.2,51,147.2,21.9,118.5,,,,,,,,,,,,21.18,,,41.1,,,870.5,,,,,61.6,34.6,167.1,29.7,68.7,24.6,39.1,256.7,404.7,10.3,250.7,883.2,23.6,7.9,2333.3,2412.3,22.9,1516.7,490.8,110.1,137.5,1400.6,63.1,1695.3,955.5,1.5,230.7,112,20.1,21.6,819.9,47.9,34.3,52.4,499.7,28.3,133.5,49.9,2054.5,194.4,270.4,92.7,210.4,72.9,155.8,9.1,98.4,191.2,19.9,407.7,43.9,22.5,211,13.6,75.6,17.7,35,415.6,28.6,105.6,56.2,58.9,36.6,644.4
01-03-2004,194.9,1185.6,82,935.7,898.9,51,148.4,21.9,120.4,,,,,,,,,,,,21.27,,,41,,,872.07,,,,,62,34.7,167.2,30.2,68.5,24.7,39.4,261.2,416.5,10.3,250.3,887.6,23.5,7.8,2355.2,2430.2,23,1525,487.9,111.1,138,1417.9,63.4,1710.1,969,1.5,232.4,112.6,20.2,21.7,833.3,48.3,34.7,52.9,504.7,27.4,134.9,50.6,2077.9,195.3,271.8,93.7,212.1,73.3,157.7,9.1,98.7,194.2,19.8,410.3,44.6,22.8,214.2,13.6,76.2,18.2,35,418.2,29.5,107,56.7,59.8,36.8,647.7
01-04-2004,195.3,1187.6,82.6,931.5,894.3,50.9,148.5,22.2,120.9,,,,,,,,,,,,21.28,,,40.7,,,866.1,,,,,61.9,34.4,167.5,30.6,68.1,24.8,39.3,256.5,411.1,10.5,252.7,889.1,23.9,8,2373.9,2435.5,23.8,1525.9,477.7,109.5,137.5,1425.3,63.9,1713.1,970.8,2,231.7,116.2,20.2,22.2,852.2,48.9,34.3,54.2,504.3,27.3,134.7,50.9,2077.9,197.2,274.4,92.5,211.1,74.1,158.5,9,100.3,197,19.7,412.8,46.3,22.8,213.9,13.5,76.8,18.4,34.1,418.7,29.1,108,56.5,60.1,37.2,649.8
